"LANGUAGE","Angol"
"ABLC_DESC","Lehetővé teszi az épületszintek szabályozását kerületenként és/vagy épületenként."
"ABLC_NAME","Fejlett épületszint-szabályozás (Advanced Building Level Control)"
"ABLC_SHORT","Szintszabályozás"
"ABLC_CTRL","Ellenőrzési szintek"
"ABLC_BUT_DIS","Ennél az épülettípusnál nem áll rendelkezésre szintszabályozás"
"ABLC_LVL_MIN","Minimális szint"
"ABLC_LVL_MIN_TIP","Ennek az épületnek a megengedett minimális beépítési szintje."
"ABLC_LVL_MAX","Maximális szint"
"ABLC_LVL_MAX_TIP","Az épület megengedett legnagyobb beépítési szintje."
"ABLC_CAT_RES","Lakossági szintek"
"ABLC_CAT_RMN_TIP","A lakóépületek megengedett minimális beépítési szintje ebben a kerületben."
"ABLC_CAT_RMX_TIP","A lakóépületek megengedett legnagyobb beépítési szintje ebben a kerületben."
"ABLC_CAT_WRK","Munkahelyi szintek"
"ABLC_CAT_WMN_TIP","A munkahelyi épületek (ipari/kereskedelmi/iroda) megengedett minimális beépítési szintje ebben a kerületben."
"ABLC_CAT_WMX_TIP","A munkahelyi épületek (ipari/kereskedelmi/iroda) megengedett legnagyobb beépítési szintje ebben a kerületben."
"ABLC_RAN_SPN","Véletlenszerű épülési szintek"
"ABLC_RAN_SPN_TIP","Ha be van állítva, az ebben a kerületben lévő új épületek kezdő szintje véletlenszerűen lesz kiválasztva a kerületi minimum és maximum között."
"ABLC_HIS_SPN","Új épületek történelmi beállításúak"
"ABLC_HIS_SPN_TIP","Ha be van állítva, a kerület új épületei automatikusan történelmiként lesznek megjelölve. Nem érinti a meglévő épületeket."
"ABLC_TRIG_UPB_TIP","Arra kényszeríti ezt az épületet, hogy a megadott minimumra frissítsék a nagyságukat."
"ABLC_TRIG_UPD_TIP","Rákényszeríti a szintet az összes olyan épületre ebben a kerületben, amelynek szintje a megadott minimum alatt van."
"BUILDING_UPGRADE","Frissítse ezt az épületet egy szinttel."
"BUILDING_DOWNGRADE","Minősítse le ezt az épületet egy szinttel."
"BUILDING_RANDOM","Véletlenszerűsítse az épület megjelenését."
"BUILDING_ABANDON","Épületelhagyás elrejtése."
"BUILDING_COLLAPSE","Épület összeomlásának elrejtése."
"ABLC_TRIG_DWB_TIP","Kényszeríti ezt az épületet a megadott maximumra való visszaminősítésre."
"ABLC_TRIG_DWD_TIP","Kényszeríti a kerület összes épületét, amelynek szintje meghaladja a megadott maximumot."
"ABLC_HIS","Történelmi beállítások"
"ABLC_TRIG_HIS","Történelmi kinézetre kényszerítés"
"ABLC_TRIG_HIS_TIP","A kerület összes épületét történelmivé teszi."
"ABLC_TRIG_NHS","Törölje a történelmi kinézetet"
"ABLC_TRIG_NHS_TIP","Ebben a kerületben minden épület nem történelmi."
"ABLC_CLR_BLD","Az épületbeállítások törlése"
"ABLC_CLR_BLD_TIP","Törli az összes egyedi épületszintű beállítást ebben a kerületben."
"ABLC_OPT_PNL","Panel beállításai"
"ABLC_OPT_PLY","Játékbeállítások"
"ABLC_OPT_SHO","Panel megjelenítése az épület kiválasztásáról"
"ABLC_OPT_RT","Helyezze az ABLC panelt a játék információs paneljének jobb oldalára (a bal oldali helyett)"
"ABLC_OPT_ANA","Nincs kiürülési státusz az épületekre"
"ABLC_OPT_HNA","Nincs kiürülési státusz a történelmi kinézetű épületekre"
"ABLC_OPT_RND","Az épület megjelenésének véletlenszerűsítése +/- 1 épületszinten belül"
"ABLC_OPT_TRN","További véletlenszerűsítés alkalmazása az épület megjelenésének megváltoztatására"
"ABLC_OPT_UWT","Engedélyezze a nem történelmi épületek történelminek minősítését, ha más modell nem áll rendelkezésre"
"ABLC_OPT_CLL","Ellenőrizze az összes térképépületet terhelés alatt, és javítson ki minden illegális szintet"
"ABLC_ERR_CON1","Ezeket a modokat el kell távolítani, mielőtt az Advanced Building Level Control működésbe léphet."
